ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
300574,1,"BP FOOD & LIQUOR, INC.",BEL PARK FOOD & LIQUOR,4752 W BELMONT AVE,IL,60641,30,39,17,1474,Package Goods,1682481,RENEW,8/1/2011,8/16/2011,8/15/2013,8/1/2011,AAI,41.93894783,-87.74600478,"(41.93894783061534, -87.7460047806082)"
11998,1,ABH FOOD & LIQUOR INC.,ABH FOOD & LIQUOR INC,5345 W NORTH AVE 1,IL,60639,37,6,25,1474,Package Goods,30044,RENEW,11/13/2003,11/16/2003,2/15/2004,11/13/2003,AAI,41.90933897,-87.75979487,"(41.90933896530053, -87.75979486719923)"
15748,1,"SUPER FOOD & LIQUORS, INC.","SUPER FOOD & LIQUORS, INC.",1049 W BRYN MAWR AVE,IL,60660,48,3,20,1474,Package Goods,40430,RENEW,8/12/2013,8/16/2013,8/15/2015,8/13/2013,AAI,41.98356392,-87.65714629,"(41.98356391497466, -87.65714629097484)"
3614,1,R & V LIQUORS INC,BEACHVIEW LIQUORS,7640 N SHERIDAN RD,IL,60626,49,34,24,1474,Package Goods,6392,RENEW,10/12/2018,10/16/2018,10/15/2020,10/12/2018,AAI,42.02039924,-87.66653233,"(42.0203992356215, -87.6665323309947)"
20105,1,YAFAI LIQUORS INC,TIP TOP LIQUOR,2700 W NORTH AVE,IL,60647,26,22,14,1474,Package Goods,64075,RENEW,10/8/2013,11/16/2013,11/15/2015,10/9/2013,AAI,41.91035175,-87.69460426,"(41.9103517539369, -87.69460426094625)"
34503,1,SOHE CORP.,KONRAD'S LIQUOR,6720 W BELMONT AVE,IL,60634,38,13,16,1474,Package Goods,41412,RENEW,5/13/2003,5/16/2003,11/15/2003,5/14/2003,AAI,41.93829326,-87.79416311,"(41.9382932554215, -87.79416311289708)"
63320,2,"DANA LIQUORS, INC.",ROTHSCHILD LIQUORS,124 E PERSHING RD 1ST,IL,60653,3,33,2,1474,Package Goods,21049,RENEW,4/23/2002,5/16/2002,11/15/2002,4/24/2002,AAI,41.82387969,-87.62202925,"(41.82387968683469, -87.62202924559631)"
25548,1,JARVIS LIQUORS INC,JARVIS LIQUORS,1502-1508 W JARVIS AVE 1ST,IL,60626,49,5,24,1474,Package Goods,6950,RENEW,5/13/2002,5/16/2002,11/15/2002,5/14/2002,AAI,42.01615589,-87.66832925,"(42.016155885898776, -87.66832925191089)"
86496,2,423 LARAMIE INC,BELMONTE LIQUORS,5000-5002 W CHICAGO AVE 1ST #,IL,60651,37,36,15,1474,Package Goods,7045,RENEW,4/23/2003,5/16/2003,11/15/2003,7/16/2003,AAI,41.89507338,-87.75076924,"(41.89507338102242, -87.75076923891397)"
456561,1,ACES LIQUOR AND TAP LLC,Aces Liquor and Tap,4437 W ARMITAGE AVE 1,IL,60639,26,12,25,1474,Package Goods,2647774,ISSUE,1/30/2020,5/17/2023,6/15/2025,5/17/2023,AAI,41.9169187,-87.7378508,"(41.9169186984992, -87.7378508038451)"
36224,1,"DAMEN LIQUORS, INC.",PRESTIGE LIQUORS,2008 W 63RD ST 1ST,IL,60636,16,5,7,1474,Package Goods,46515,RENEW,11/5/2003,11/16/2003,8/15/2004,11/5/2003,AAI,41.77942004,-87.67433255,"(41.779420042281316, -87.67433254640225)"
216137,1,BUY LOW LIQUORS INC.,CENTRAL BUY LOW LIQUOR,3360 W MONTROSE AVE,IL,60618,33,33,17,1474,Package Goods,1145649,RENEW,2/10/2007,2/16/2007,12/15/2008,2/22/2007,AAI,41.96123967,-87.71307662,"(41.96123967064833, -87.7130766179954)"
61465,1,"D & J FOODS & LIQUORS, INC.",J S LIQUORS II,444 E 79TH ST,IL,60619,6,35,6,1474,Package Goods,1093833,RENEW,10/14/2016,10/16/2016,10/15/2018,10/14/2016,AAI,41.75125884,-87.61315244,"(41.75125884439508, -87.61315243647212)"
262869,1,"WAREHOUSE LIQUORS, INC.",WAREHOUSE LIQUORS,634 S WABASH AVE,IL,60605,4,21,1,1474,Package Goods,1355275,RENEW,10/8/2016,10/16/2016,10/15/2018,10/11/2016,AAC,41.87366551,-87.62612548,"(41.873665507986445, -87.62612547903451)"
89238,1,"LINA FOOD & LIQUOR, INC","LINA FOOD & LIQUOR, INC",2228 S ARCHER AVE  1,IL,60616,11,18,9,1474,Package Goods,24384,RENEW,8/14/2007,8/16/2007,6/15/2008,8/14/2007,AAI,41.85242413,-87.63599569,"(41.85242412467653, -87.63599569065158)"
6288,1,"GRAND FOOD & LIQUORS, INC.",GRAND FOOD & LIQUOR INC,5128 W GRAND AVE 1ST,IL,60639,36,19,25,1474,Package Goods,34600,RENEW,2/14/2005,2/16/2005,2/15/2006,2/15/2005,AAI,41.91697454,-87.75453408,"(41.91697453533218, -87.75453407672242)"
4702,2,"S & M LIQUORS, INC.",CACTUS FOOD & LIQUOR,3358 W IRVING PARK RD 1ST,IL,60618,33,15,17,1474,Package Goods,38362,RENEW,10/29/2014,12/16/2014,12/15/2016,10/30/2014,AAI,41.95396745,-87.71284661,"(41.953967444654275, -87.71284661270427)"
9149,1,"DOUBLE R FOOD & LIQUOR, INC.",DOUBLE R FOOD & LIQUOR INC,10034 S MICHIGAN AVE,IL,60628,9,2,5,1474,Package Goods,22044,RENEW,8/14/2013,9/16/2013,9/15/2015,8/29/2013,AAI,41.71165504,-87.62015883,"(41.711655040960906, -87.62015883107287)"
274865,1,"SAS Business Group, Inc.",Three Stars Liquors,310 N KOSTNER AVE,IL,60624,28,23,11,1474,Package Goods,1488856,RENEW,7/24/2006,8/16/2006,8/15/2007,8/16/2006,AAI,41.88582299,-87.73578781,"(41.885822990446464, -87.73578781136473)"
7038,1,RACINE FOOD & LIQUOR INC,RACINE FOOD & LIQUOR INC,1148 W 69TH ST 1ST,IL,60621,16,45,7,1474,Package Goods,17216,RENEW,11/12/2004,11/16/2004,11/15/2005,11/15/2004,AAI,41.76881153,-87.65373387,"(41.76881153418463, -87.65373386660372)"
6881,1,8258 HALSTED FOOD & LIQUORS INC,8258 HALSTED FOOD & LIQUORS,8258 S HALSTED ST,IL,60620,17,34,6,1474,Package Goods,16546,RENEW,5/15/2002,5/16/2002,11/15/2002,5/16/2002,AAI,41.74344752,-87.64397976,"(41.74344751457781, -87.64397976337602)"
24051,1,"MARKAT ENTERPRISES, INC.",FOREMOST LIQUORS,1040 W ARGYLE ST 1ST,IL,60640,48,21,20,1474,Package Goods,478,RENEW,8/20/2009,7/16/2009,7/15/2011,8/20/2009,AAI,41.97340009,-87.65656208,"(41.97340008501757, -87.65656208169783)"
314964,1,"ROOSEVELT FOOD & LIQUOR, INC.","ROOSEVELT FOOD & LIQUOR, INC.",2858 W ROOSEVELT RD,IL,60612,28,54,11,1474,Package Goods,1803488,RENEW,5/26/2016,9/16/2014,9/15/2016,3/13/2015,AAI,41.86659161,-87.69828716,"(41.86659160962016, -87.69828716189743)"
6214,1,"MORENO'S DISCOUNT LIQUORS, INC.",MORENOS DISCOUNT LIQUORS INC,3714-3724 W 26TH ST 1ST,IL,60623,22,13,10,1474,Package Goods,13153,RENEW,6/26/2014,8/16/2014,8/15/2016,6/27/2014,AAI,41.84444821,-87.7179374,"(41.84444821332169, -87.7179373980226)"
4498,1,"THOMAS FOOD & LIQUORS, INC.",TOM'S FOOD & LIQUORS,4141 N SHERIDAN RD 1ST,IL,60613,46,25,19,1474,Package Goods,39282,RENEW,11/14/2003,11/16/2003,8/15/2004,11/14/2003,AAI,41.9577525,-87.65449094,"(41.957752498929985, -87.65449093694838)"
253598,1,"JAGAT AMBAY, INC.",EAST GATE LIQUORS,446 W DIVERSEY PKWY,IL,60614,44,8,19,1474,Package Goods,1277808,RENEW,3/21/2013,4/16/2013,4/15/2015,3/22/2013,AAI,41.93298378,-87.64117049,"(41.93298377578833, -87.64117048527066)"
30809,1,TOMARAS & TOMARAS LIMITED,ARCHER LIQUORS,5996 S ARCHER AVE  1,IL,60638,23,45,8,1474,Package Goods,27601,RENEW,2/2/2005,2/16/2005,2/15/2006,2/3/2005,AAI,41.79522214,-87.76631287,"(41.7952221413764, -87.76631286819415)"
201644,1,FELIX F. LAFONTAINE,FLORIDA FOOD & LIQUOR,4201 W AUGUSTA BLVD,IL,60651,37,4,11,1474,Package Goods,1042355,RENEW,11/13/2013,11/16/2013,11/15/2015,11/14/2013,AAI,41.89882627,-87.73123508,"(41.89882626862589, -87.73123507786195)"
14390,1,R & H FOOD & LIQUOR INC,BUY LOW FOOD & LIQUOR,847-853 W 87TH ST,IL,60620,21,6,22,1474,Package Goods,31670,RENEW,5/12/2003,5/16/2003,11/15/2003,11/12/2003,AAI,41.73593936,-87.64533318,"(41.73593936167209, -87.64533317498139)"
7034,1,PAL FOOD & LIQUOR INC,PAL FOOD & LIQUOR,5300 S ASHLAND AVE  1,IL,60609,16,10,9,1474,Package Goods,21948,RENEW,11/10/2003,11/16/2003,2/15/2004,11/12/2003,AAI,41.79758,-87.66482482,"(41.79757999603747, -87.66482481850112)"
170,1,CHICAGO PRESTIGE LIQUORS INC,PRESTIGE LIQUORS,5967 W CHICAGO AVE,IL,60651,29,29,15,1474,Package Goods,894,RENEW,11/14/2002,11/16/2002,5/15/2003,11/15/2002,AAI,41.8946056,-87.7749093,"(41.89460559487295, -87.77490929875101)"
15900,1,"M & A FOODS & LIQUOR, INC.",M & A FOOD & LIQUORS,3925 W CHICAGO AVE 1ST,IL,60651,37,25,11,1474,Package Goods,40123,RENEW,4/23/2003,5/16/2003,11/15/2003,4/24/2003,AAI,41.89526808,-87.72480023,"(41.895268077120654, -87.72480023226892)"
86197,1,FOUR BROTHERS FOOD & LIQUOR INC,FOUR BROTHERS FOOD & LIQUOR INC,1711 W 79TH ST,IL,60620,17,15,6,1474,Package Goods,43040,RENEW,7/14/2010,7/16/2010,7/15/2012,7/14/2010,AAI,41.75021123,-87.66634243,"(41.75021123096092, -87.66634242788096)"
6214,1,"MORENO'S DISCOUNT LIQUORS, INC.",MORENOS DISCOUNT LIQUORS INC,3714-3724 W 26TH ST 1ST,IL,60623,22,13,10,1474,Package Goods,13153,RENEW,7/12/2016,8/16/2016,8/15/2018,7/13/2016,AAI,41.84444821,-87.7179374,"(41.84444821332169, -87.7179373980226)"
63116,1,MAYO FOOD & LIQUOR INC.,MAYO FOOD & LIQUOR,600 N CICERO AVE  1,IL,60644,37,8,15,1474,Package Goods,15028,RENEW,5/12/2006,5/16/2006,5/15/2007,5/15/2006,AAI,41.89142316,-87.74582768,"(41.89142315631106, -87.74582767466832)"
5270,1,"JARDAN FOOD & LIQUOR, INC.",JARDAN FOOD & LIQUOR,317 E GARFIELD BLVD # 1,IL,60637,3,42,2,1474,Package Goods,11228,RENEW,8/11/2007,8/16/2007,7/15/2009,8/13/2007,AAI,41.79432493,-87.61852061,"(41.7943249341336, -87.61852060527603)"
7299,1,CORNER FOOD & LIQUOR INC.,CORNER FOOD & LIQUOR INC,2640 E 130TH ST  1,IL,60633,10,9,4,1474,Package Goods,17983,RENEW,11/10/2004,11/16/2004,11/15/2005,11/10/2004,AAC,41.6593142,-87.5588946,"(41.65931419695188, -87.55889460161924)"
82068,1,S F INC,JACKSON LIQUORS,2456 W JACKSON BLVD # 1ST,IL,60612,27,15,11,1474,Package Goods,8675,RENEW,11/12/2004,11/16/2004,11/15/2005,11/15/2004,AAI,41.87763441,-87.68855667,"(41.87763441014909, -87.68855666541482)"
3666,1,M & M FOOD & LIQUORS,M & M FOOD & LIQUOR,3859 W MADISON ST,IL,60624,28,18,11,1474,Package Goods,6621,RENEW,11/15/2002,11/16/2002,5/15/2003,11/21/2002,AAI,41.88064903,-87.72312472,"(41.88064902986778, -87.72312472411751)"
8282,1,"R.H.A. FOOD & LIQUOR, INC.",SKIP'S FOOD AND LIQUOR,5515 S DAMEN AVE,IL,60636,16,43,7,1474,Package Goods,20419,RENEW,4/15/2021,6/16/2021,6/15/2023,6/15/2021,AAI,41.79306663,-87.67412143,"(41.79306663087074, -87.67412142900783)"
4710,1,RAMBO FOOD & LIQUOR INC,RAMBO FOOD & LIQUOR INC,3757 S STATE ST,IL,60609,3,33,2,1474,Package Goods,10783,RENEW,11/12/2003,11/16/2003,2/15/2004,11/13/2003,AAI,41.82565676,-87.62628491,"(41.825656758917994, -87.62628491438619)"
81194,2,"ATURIA ENTERPRISES, INC.",MAYFAIR FOOD & LIQUOR,5014 N PULASKI RD  FIRST,IL,60630,39,6,17,1474,Package Goods,84251,RENEW,5/23/2006,2/16/2006,2/15/2007,4/4/2006,AAI,41.97235227,-87.72829008,"(41.97235227021927, -87.72829007860408)"
14484,1,"HOUSTON'S LIQUOR & FOOD STORE, INC.",HOUSTON'S LIQUOR & FOODS,1829 W IRVING PARK RD,IL,60613,47,29,19,1474,Package Goods,46375,RENEW,8/15/2006,8/16/2006,8/15/2007,8/15/2006,AAI,41.95409114,-87.67534123,"(41.95409114287415, -87.67534122542398)"
300574,1,"BP FOOD & LIQUOR, INC.",BEL PARK FOOD & LIQUOR,4752 W BELMONT AVE,IL,60641,30,39,17,1474,Package Goods,1682481,RENEW,7/2/2015,8/16/2015,8/15/2017,7/6/2015,AAI,41.93894783,-87.74600478,"(41.93894783061534, -87.7460047806082)"
11112,1,THE LAXI CORPORATION,LAXI LIQUOR,6922 W GRAND AVE 1ST,IL,60707,36,2,25,1474,Package Goods,47782,RENEW,2/12/2007,2/16/2007,2/15/2008,2/21/2007,AAI,41.9236807,-87.79867613,"(41.923680700297396, -87.79867612863558)"
31031,1,LIQUOR CENTER INC,FOREMOST LIQUOR CENTER,5301 N MILWAUKEE AVE 1ST,IL,60630,45,32,16,1474,Package Goods,28377,RENEW,10/26/2021,12/16/2021,12/15/2023,10/27/2021,AAI,41.97670147,-87.76842642,"(41.97670146626392, -87.76842641731186)"
300775,1,ROMEL L.L.C.,MAYFAIR FOOD AND LIQUOR,5014 N PULASKI RD,IL,60630,39,6,17,1474,Package Goods,1678651,RENEW,10/26/2011,12/16/2011,12/15/2013,10/27/2011,AAI,41.97235227,-87.72829008,"(41.97235227021927, -87.72829007860408)"
64278,1,"KALLITHEA, INC.",GOLD CROWN LIQUORS,3421 -3425 N CLARK ST 1ST,IL,60657,44,36,19,1474,Package Goods,43262,RENEW,4/29/2002,5/16/2002,11/15/2002,4/30/2002,AAI,41.94415691,-87.6538835,"(41.944156908415145, -87.65388349655805)"
4500,1,PEERLESS TRADING CORP,PRESTIGE LIQUORS,5933-5935 W LAWRENCE AVE,IL,60630,45,45,16,1474,Package Goods,9805,RENEW,2/1/2006,2/16/2006,2/15/2007,2/1/2006,AAI,41.96755892,-87.77608297,"(41.96755892091478, -87.77608297023237)"
288079,1,"6343 CALIFORNIA, INC.",CALIFORNIA FOOD & LIQUORS,6343 N CALIFORNIA AVE,IL,60659,50,26,24,1474,Package Goods,1577777,RENEW,2/15/2011,2/16/2011,2/15/2013,2/16/2011,AAI,41.99703015,-87.69947325,"(41.99703014592481, -87.69947325070372)"
8084,1,SOLID GOLD FOOD & LIQUOR INC,SOLID GOLD FOOD & LIQUOR,3821-3823 W ROOSEVELT RD,IL,60624,24,28,10,1474,Package Goods,24261,RENEW,11/4/2002,11/16/2002,5/15/2003,11/5/2002,AAI,41.86611949,-87.72092757,"(41.86611949397407, -87.72092757399619)"
15854,1,S & L FOOD & LIQUORS INC,S & L FOOD & LIQUORS INC,4958 W FULLERTON AVE 1ST,IL,60639,31,51,25,1474,Package Goods,39740,RENEW,1/11/2023,1/16/2023,1/15/2025,1/12/2023,AAI,41.92428589,-87.75110573,"(41.924285888333095, -87.75110573368215)"
4236,1,"RAINBOW FINER FOODS & LIQUOR, INC.",RAINBOW FINER FOOD & LIQUOR,6316 S ASHLAND AVE 1,IL,60636,16,34,7,1474,Package Goods,9140,RENEW,5/1/2002,5/16/2002,11/15/2002,5/2/2002,AAI,41.77892241,-87.66435268,"(41.7789224055316, -87.66435268109221)"
6721,1,"BRIGHT, INC.",BUY-LOW LIQUORS,1628 W LAWRENCE AVE,IL,60640,47,31,20,1474,Package Goods,43927,RENEW,8/2/2005,8/16/2005,8/15/2006,8/3/2005,AAI,41.96897701,-87.67069154,"(41.968977009618555, -87.67069153919947)"
264774,1,"CAPONE'S LIQUORS & FOOD, INC.","CAPONE'S LIQUORS & FOOD, INC.",3678-3680 N ELSTON AVE,IL,60618,35,4,17,1474,Package Goods,1380136,RENEW,2/16/2023,12/16/2022,12/15/2024,2/17/2023,AAI,41.94809458,-87.71120898,"(41.94809457604106, -87.71120897674419)"
267566,1,ABBASCO FOOD & LIQUOR INC.,BANNER LIQUOR,10556-10558 S EWING AVE,IL,60617,10,33,4,1474,Package Goods,1473156,RENEW,6/11/2020,7/16/2020,7/15/2022,6/12/2020,AAI,41.70288197,-87.53543043,"(41.70288196597781, -87.53543042630147)"
11688,1,M. F. S. FOOD & LIQUOR INC.,SAVORY FOOD & LIQUOR,4138 N MILWAUKEE AVE,IL,60641,45,7,16,1474,Package Goods,29520,RENEW,8/12/2005,8/16/2005,8/15/2006,8/22/2005,AAI,41.95616747,-87.75078828,"(41.95616746829924, -87.7507882794648)"
263,1,MR G'S FOOD & LIQUOR INC,MR G'S FOOD & LIQUOR,332-334 E 58TH ST 1ST,IL,60637,20,11,2,1474,Package Goods,1431,RENEW,11/7/2003,11/16/2003,8/15/2004,11/10/2003,AAI,41.78942986,-87.61784034,"(41.789429857455325, -87.61784033976139)"
263,1,MR G'S FOOD & LIQUOR INC,MR G'S FOOD & LIQUOR,332-334 E 58TH ST 1ST,IL,60637,20,11,2,1474,Package Goods,1431,RENEW,8/14/2007,8/16/2007,7/15/2009,8/15/2007,AAI,41.78942986,-87.61784034,"(41.789429857455325, -87.61784033976139)"
5270,1,"JARDAN FOOD & LIQUOR, INC.",JARDAN FOOD & LIQUOR,317 E GARFIELD BLVD # 1,IL,60637,3,42,2,1474,Package Goods,11228,RENEW,8/9/2005,8/16/2005,8/15/2006,8/10/2005,AAI,41.79432493,-87.61852061,"(41.7943249341336, -87.61852060527603)"
216,1,BEL-PARK LIQUORS INC.,FOREMOST LIQUORS CICERO,3210-3212 N CICERO AVE 1ST,IL,60641,31,14,16,1474,Package Goods,28861,RENEW,4/15/2002,5/16/2002,11/15/2002,4/29/2002,AAI,41.93916408,-87.7470229,"(41.93916407999344, -87.7470229013708)"
14905,1,GEORGE AND KAPLAN LIMITED,J & R LIQUOR AND FOOD,2401 N ASHLAND AVE  1,IL,60614,32,13,19,1474,Package Goods,34741,RENEW,12/2/2004,5/16/2004,5/15/2005,5/17/2004,AAI,41.92519975,-87.6680005,"(41.92519975246885, -87.6680005030265)"
63298,1,GA & 7M CORPORATION,LARAMIE FOOD & LIQUOR,200 S LARAMIE AVE  1,IL,60644,29,14,15,1474,Package Goods,20227,RENEW,5/10/2005,5/16/2005,5/15/2006,6/6/2005,AAI,41.87842317,-87.75514145,"(41.87842317327235, -87.7551414485292)"
11688,1,M. F. S. FOOD & LIQUOR INC.,SAVORY FOOD & LIQUOR,4138 N MILWAUKEE AVE,IL,60641,45,7,16,1474,Package Goods,29520,RENEW,8/13/2004,8/16/2004,8/15/2005,8/18/2004,AAI,41.95616747,-87.75078828,"(41.95616746829924, -87.7507882794648)"
201110,1,Dawn Spainhour-Bravo,Bravo Food & Liquor,619 W 43RD ST,IL,60609,11,15,9,1474,Package Goods,1000852,RENEW,2/7/2005,2/16/2005,2/15/2006,2/8/2005,AAI,41.81614185,-87.6416218,"(41.81614184571898, -87.641621800862)"
6931,1,SHERIDAN IRVING L LIQUORS INC,SHERIDAN IRVING L LIQUORS INC,3944-3946 N SHERIDAN RD  1,IL,60613,46,18,19,1474,Package Goods,1043485,RENEW,5/15/2014,6/16/2014,6/15/2016,5/16/2014,AAI,41.9540597,-87.65468015,"(41.95405970426544, -87.65468014494112)"
6281,2,SHARIF'S FOOD & LIQUORS INC.,SHARIF'S FOOD & LIQUORS INC.,5659 S RACINE AVE 1,IL,60636,16,15,7,1474,Package Goods,13506,RENEW,6/2/2017,6/16/2017,6/15/2019,6/5/2017,AAI,41.79061638,-87.65463582,"(41.79061638096181, -87.65463582120134)"
21739,1,"SRD FOOD & LIQUORS, INC.",SRD FOOD & LIQUORS,3976 N ELSTON AVE,IL,60618,45,29,17,1474,Package Goods,71937,RENEW,1/17/2006,2/16/2006,2/15/2007,1/18/2006,AAI,41.953514,-87.71901777,"(41.95351400196992, -87.7190177666529)"
374479,1,"ADDISON FOOD & LIQUOR, INC",MAX' FOOD & LIQUOR 1,3550 N AUSTIN AVE 1 UNIT C,IL,60634,30,27,16,1474,Package Goods,2178044,RENEW,8/10/2017,8/16/2017,8/15/2019,8/11/2017,AAI,41.94548695,-87.77663733,"(41.94548695122975, -87.7766373253142)"
7012,1,RUDY'S FOOD & LIQUORS INC.,RUDY'S FOOD & LIQUOR,1558 W 69TH ST 1ST,IL,60636,17,1,7,1474,Package Goods,17086,RENEW,6/7/2019,6/16/2019,7/15/2021,6/10/2019,AAI,41.7686623,-87.66384165,"(41.76866229598703, -87.66384165371463)"
4730,1,B & O INC,FOX LIQUORS,4707 N DAMEN AVE,IL,60625,47,36,19,1474,Package Goods,34312,RENEW,5/15/2003,11/16/2002,5/15/2003,11/18/2002,AAI,41.96714374,-87.67899333,"(41.96714373617562, -87.67899332559362)"
16504,1,P & S LIQUOR INC.,P & S FOOD & LIQUOR,4910 W IRVING PARK RD 1ST,IL,60641,45,31,16,1474,Package Goods,44994,RENEW,8/15/2011,8/16/2011,8/15/2013,8/15/2011,AAI,41.95348534,-87.75032393,"(41.95348534007437, -87.75032392958907)"
6910,1,A. K. I. INCORPORATED,BUDGET FOOD & LIQUOR,2504 E 79TH ST,IL,60649,7,17,4,1474,Package Goods,16667,RENEW,1/13/2007,2/16/2007,12/15/2008,1/19/2007,AAI,41.75187622,-87.56358118,"(41.751876222428905, -87.56358118181382)"
52286,1,"87 SOUTH ROTHSCHILD LIQUORS, INC.",ROTHSCHILD LIQUORS,717 E 87TH ST  1ST,IL,60619,8,24,6,1474,Package Goods,21038,RENEW,8/9/2007,8/16/2007,7/15/2009,8/9/2007,AAI,41.73651415,-87.60656169,"(41.73651415435635, -87.60656168540642)"
85997,1,"3400 FOOD & LIQUOR, INCORPORATED",3400 FOOD & LIQUOR,3459 W HARRISON ST 1,IL,60624,24,18,11,1474,Package Goods,29166,RENEW,8/7/2006,8/16/2006,8/15/2007,9/5/2006,AAI,41.87349047,-87.71309774,"(41.87349047234734, -87.71309773572321)"
334716,1,BASIL FOOD & LIQUOR INC.,BASIL FOOD & LIQUOR,7446 N WESTERN AVE 1,IL,60645,50,4,24,1474,Package Goods,1921417,RENEW,10/6/2011,10/16/2011,10/15/2013,10/7/2011,AAI,42.01723943,-87.6903456,"(42.01723943418763, -87.69034559604373)"
63020,1,2000 WEST MADISON LIQUOR CORP,MAIN STREET LIQUORS,2000 W MADISON ST 1ST,IL,60612,27,45,12,1474,Package Goods,12694,RENEW,11/14/2006,11/16/2006,11/15/2007,11/16/2006,AAI,41.88142259,-87.67670648,"(41.881422591002774, -87.67670647727606)"
214953,1,GREAT KHAN LLC,CARDINAL WAREHOUSE LIQUORS,3501 N CENTRAL AVE,IL,60634,30,39,16,1474,Package Goods,1143593,RENEW,10/13/2004,11/16/2004,11/15/2005,10/13/2004,AAI,41.94409931,-87.76654805,"(41.94409930695949, -87.76654804609672)"
6721,1,"BRIGHT, INC.",BUY-LOW LIQUORS,1628 W LAWRENCE AVE,IL,60640,47,31,20,1474,Package Goods,43927,RENEW,7/14/2006,8/16/2006,8/15/2007,7/20/2006,AAI,41.96897701,-87.67069154,"(41.968977009618555, -87.67069153919947)"
43797,1,"HAR-HIG LIQUORS, INC.","Har-Hig Liquors, Inc.",7154 W HIGGINS AVE,IL,60656,41,3,16,1474,Package Goods,66849,RENEW,11/8/2002,11/16/2002,5/15/2003,11/12/2002,AAI,41.98117283,-87.80670113,"(41.98117283405774, -87.8067011301986)"
9149,1,"DOUBLE R FOOD & LIQUOR, INC.",DOUBLE R FOOD & LIQUOR INC,10034 S MICHIGAN AVE,IL,60628,9,2,5,1474,Package Goods,22044,RENEW,9/7/2017,9/16/2017,9/15/2019,9/7/2017,AAC,41.71165504,-87.62015883,"(41.711655040960906, -87.62015883107287)"
254707,1,"J & H FOOD & LIQUOR, INC.",J & H FOOD & LIQUOR,5652 N CLARK ST 1,IL,60660,40,22,20,1474,Package Goods,1301333,RENEW,7/10/2006,8/16/2006,8/15/2007,7/10/2006,AAI,41.98497556,-87.66922749,"(41.9849755548221, -87.66922749215854)"
211868,1,ISLS INC.,MISKA LIQUORS,8227 W IRVING PARK RD,IL,60634,38,49,16,1474,Package Goods,1124248,RENEW,,10/16/2021,10/15/2023,12/17/2021,AAI,41.95202372,-87.83295905,"(41.952023715154134, -87.83295904792494)"
6052,1,GIOVANNI LIQUORS INC,GIOVANNI LIQUORS INC,4237 W 26TH ST 1ST,IL,60623,22,6,10,1474,Package Goods,12310,RENEW,6/27/2018,8/16/2018,8/15/2020,6/28/2018,AAI,41.84405528,-87.730835,"(41.844055277038365, -87.73083499652826)"
401294,1,N AND A LIQUOR INC.,PRESTIGE LIQUORS,2008 W 63RD ST 1,IL,60636,16,5,7,1474,Package Goods,2427794,RENEW,12/4/2023,12/16/2023,12/15/2025,12/5/2023,AAI,41.77942004,-87.67433255,"(41.779420042281316, -87.67433254640225)"
5942,1,"ECONOMY FOOD & LIQUOR, INC.",ECONOMY FOOD & LIQUORS INC,6901 S HALSTED ST,IL,60621,6,40,7,1474,Package Goods,11946,RENEW,4/14/2003,11/16/2002,5/15/2003,11/6/2002,AAI,41.76874851,-87.64435818,"(41.768748511775094, -87.64435818205989)"
216984,1,"M & M DISCOUNT, INC.",M & M FOOD & LIQUORS,1607 W 59TH ST,IL,60636,16,2,7,1474,Package Goods,1166713,RENEW,7/20/2005,8/16/2005,8/15/2006,7/21/2005,AAI,41.78663169,-87.66470235,"(41.78663168467939, -87.6647023515688)"
6881,1,8258 HALSTED FOOD & LIQUORS INC,8258 HALSTED FOOD & LIQUORS,8258 S HALSTED ST,IL,60620,17,34,6,1474,Package Goods,16546,RENEW,10/21/2002,11/16/2002,5/15/2003,10/30/2002,AAI,41.74344752,-87.64397976,"(41.74344751457781, -87.64397976337602)"
3758,1,VERMAR ENTERPRISES INC,CUPBOARD FOOD & LIQUOR,3260 W 55TH ST,IL,60632,14,34,8,1474,Package Goods,7112,RENEW,6/12/2013,6/16/2013,6/15/2015,6/13/2013,AAI,41.79358918,-87.70594578,"(41.79358917945885, -87.70594578345793)"
4077,1,"2944 WEST 47TH STREET LIQUOR MART, INC.",TOWN & COUNTRY LIQUORS,2944 W 47TH ST 1ST,IL,60632,12,30,9,1474,Package Goods,8447,RENEW,8/1/2005,8/16/2005,8/15/2006,8/2/2005,AAI,41.80832199,-87.6984052,"(41.80832198669708, -87.69840519823977)"
6901,1,"V & V LIQUORS, INC.",MIDWAY FOOD AND LIQUORS,5500 S STATE ST 1ST,IL,60621,20,16,2,1474,Package Goods,16630,RENEW,8/28/2018,10/16/2018,10/15/2020,8/28/2018,AAI,41.79422529,-87.62583602,"(41.79422529103963, -87.62583601558326)"
6032,1,"HANAN, INC.",HANAS FINER FOOD AND LIQUOR,1311 E 87TH ST 1ST,IL,60619,8,35,4,1474,Package Goods,12219,RENEW,10/11/2018,10/16/2018,10/15/2020,10/11/2018,AAI,41.73671244,-87.59245525,"(41.736712440359995, -87.59245525003948)"
